1,11ty,eleventy
2,3dcad,3d
3,4xgame,4x
4,5gc,5g
5,5gnr,5g
6,68000,motorola-68000
7,68k,motorola-68000
8,a11y,web-accessibility
9,aas,asyncapi
10,action,actions
11,ada95,ada
12,alloy,alloy-analyzer
13,altium,altium-designer
14,altvmp,altv
15,animes,anime
16,antlr3,antlr
17,antlr4,antlr
18,aoc,advent-of-code
19,aqavit,adoptium
20,arch,archlinux
21,arg,alternate-reality-game
22,argo,argo-floats
23,arpg,action-role-playing
24,artnet,art-net
25,as,assemblyscript
26,asc,edupage
27,aspnet,aspnet
28,ast,parsing
29,authz,authorization
30,backend,backend
31,bch,bitcoin-cash
32,bd09,gcj02
33,bd09ll,gcj02
34,bd09mc,gcj02
35,bds,bedrock-dedicated-server
36,bel,biological-expression-language
37,bnf,parsing
38,bots,bot
39,bq,bigquery
40,brew,homebrew
41,build1,build-engine
42,build2,build-engine
43,bunjs,bun
44,c89,c
45,c99,c
46,cansi,c
47,capnp,capnproto
48,case,casejs
49,casual,casual-game
50,cc0,creative-commons
51,ccby,creative-commons
52,ccbync,creative-commons
53,ccbynd,creative-commons
54,ccbysa,creative-commons
55,ccg,collectible-card-game
56,cfg,configuration
57,chaijs,chai
58,ci,continuous-integration
59,ci4,codeigniter
60,clj,clojure
61,cljs,clojurescript
62,coaps,coap
63,coding,code
64,config,configuration
65,cpp,cpp
66,cpp03,cpp
67,cpp0x,cpp
68,cpp11,cpp
69,cpp14,cpp
70,cpp17,cpp
71,cpp1y,cpp
72,cpp1z,cpp
73,cpp20,cpp
74,cpp2a,cpp
75,cpp98,cpp
76,cpps,cpp
77,crpg,role-playing-game
78,crudl,crud
79,cs,computer-science
80,csharp,csharp
81,css3,css
82,d2,d
83,db,database
84,dcode,dcode-2025
85,ddd,domain-driven-design
86,demos,demo
87,dev,development
88,djs,discord-js
89,dlang,d
90,dle12,dle
91,dle13,dle
92,dlt,data-load-tool
93,dlthub,data-load-tool
94,dmx,dmx512
95,docs,documentation
96,dpg,digital-public-goods
97,dx,developer-experience
98,e2ee,end-to-end-encryption
99,eguirs,egui
100,eksi,eksisozluk
101,emojis,emoji
102,emq,emqx
103,emqtt,emqx
104,es6,ecmascript
105,f77,fortran
106,f95,fortran
107,faasd,openfaas
108,fabric,fabricmc
109,fb,facebook
110,fdroid,f-droid
111,fea,finite-element-method
112,fem,finite-element-method
113,fiji,imagej
114,fisher,fish
115,fluent,fluent-design
116,fonts,font
117,forge,minecraft-forge
118,fps,first-person-shooter
119,frc,first-robotics-competition
120,frontend,frontend
121,fs,freeswitch
122,fsa,finite-state-machine
123,fsm,finite-state-machine
124,ftc,first-tech-challenge
125,ftcsdk,first-tech-challenge
126,ftloc,for-the-love-of-code
127,gan,generative-adversarial-network
128,gb,gameboy
129,gba,gameboy
130,gbc,gameboy
131,gcp,google-cloud
132,gdocs,google-docs
133,gdrive,google-drive
134,ggj,global-game-jam
135,ggo12,game-off
136,ggo13,game-off
137,ggo14,game-off
138,ggo15,game-off
139,ggo16,game-off
140,glams,glam
141,gml,gamemaker
142,gmod,garrysmod
143,gms2,gamemaker
144,goipfs,ipfs
145,golang,go
146,gplv2,gpl
147,gplv3,gpl
148,growth,marketing
149,gsuite,google-workspace
150,gtd,getting-things-done
151,gtk2,gtk
152,gtk3,gtk
153,gtk4,gtk
154,gtm,marketing
155,gulpjs,gulp
156,gw2,guildwars2
157,hdl,verilog
158,hono,honojs
159,html5,html
160,http2,http
161,https,http
162,hx,haxe
163,hxml,haxe
164,iac,infrastructure-as-code
165,icedrs,iced
166,idtech,id-tech
167,if,interactive-fiction
168,ifmo,itmo
169,ig,instagram
170,ilp,web-monetization
171,images,image
172,insta,instagram
173,iogame,io
174,ios10,ios
175,ios11,ios
176,iosapp,ios
177,ipynb,jupyter-notebook
178,iris12,iris
179,irisgo,iris
180,jade,pug
181,java11,java
182,java8,java
183,javase,java
184,jdk,java
185,js,javascript
186,js13k,js13kgames
187,jsipfs,ipfs
188,jvm,java
189,jwa,jwt
190,k8s,kubernetes
191,kak,kakoune
192,kandr,c
193,kerbal,kerbal-space-program
194,kex,kex-engine
195,koa2,koa
196,koajs,koa
197,ksp,kerbal-space-program
198,ksp2,kerbal-space-program-2
199,l10n,localization
200,labapi,scpsl-labapi
201,lalr,parsing
202,lcu,league-of-legends
203,lcuapi,league-of-legends
204,ld0,ludum-dare
205,ld1,ludum-dare
206,ld10,ludum-dare
207,ld11,ludum-dare
208,ld12,ludum-dare
209,ld13,ludum-dare
210,ld14,ludum-dare
211,ld15,ludum-dare
212,ld16,ludum-dare
213,ld17,ludum-dare
214,ld18,ludum-dare
215,ld19,ludum-dare
216,ld2,ludum-dare
217,ld20,ludum-dare
218,ld21,ludum-dare
219,ld22,ludum-dare
220,ld23,ludum-dare
221,ld24,ludum-dare
222,ld25,ludum-dare
223,ld26,ludum-dare
224,ld27,ludum-dare
225,ld28,ludum-dare
226,ld29,ludum-dare
227,ld3,ludum-dare
228,ld30,ludum-dare
229,ld31,ludum-dare
230,ld32,ludum-dare
231,ld33,ludum-dare
232,ld34,ludum-dare
233,ld35,ludum-dare
234,ld36,ludum-dare
235,ld37,ludum-dare
236,ld38,ludum-dare
237,ld39,ludum-dare
238,ld4,ludum-dare
239,ld40,ludum-dare
240,ld41,ludum-dare
241,ld42,ludum-dare
242,ld43,ludum-dare
243,ld44,ludum-dare
244,ld45,ludum-dare
245,ld46,ludum-dare
246,ld47,ludum-dare
247,ld48,ludum-dare
248,ld49,ludum-dare
249,ld5,ludum-dare
250,ld6,ludum-dare
251,ld7,ludum-dare
252,ld8,ludum-dare
253,ld9,ludum-dare
254,ldjam,ludum-dare
255,ldjam0,ludum-dare
256,ldjam1,ludum-dare
257,ldjam2,ludum-dare
258,ldjam3,ludum-dare
259,ldjam4,ludum-dare
260,ldjam5,ludum-dare
261,ldjam6,ludum-dare
262,ldjam7,ludum-dare
263,ldjam8,ludum-dare
264,ldjam9,ludum-dare
265,lean3,lean
266,lean4,lean
267,lessjs,less
268,lexer,parsing
269,lgbt,queer
270,lgbtq,queer
271,lib,library
272,libsdl,sdl
273,liko12,liko-12
274,llms,llm
275,m68000,motorola-68000
276,m68k,motorola-68000
277,mac,macos
278,macosx,macos
279,math,mathematics
280,matrix,matrix-org
281,mazes,maze
282,mcbe,minecraft-bedrock-edition
283,mcnp5,mcnp
284,mcnp6,mcnp
285,mcpe,minecraft-bedrock-edition
286,mcu,microcontroller
287,md,markdown
288,mdxjs,mdx
289,mean,mean-stack
290,mf2,microformats
291,mge,megengine
292,mint,linuxmint
293,ml,machine-learning
294,mmo,massively-multiplayer-online
295,mmog,massively-multiplayer-online
296,mongo,mongodb
297,motion,framer-motion
298,move,move-sui
299,ms,microsoft
300,mspmcp,msp-mcp
301,mssql,sql-server
302,mud,mud-game
303,nanika,ukagaka
304,nest,nestjs
305,next,nextjs
306,nixos,nix
307,njk,nunjucks
308,nocode,no-code
309,node,nodejs
310,none,netflix
311,npmjs,npm
312,nuxtjs,nuxt
313,nvim,neovim
314,oai,oai-pmh
315,oaipmh,oai-pmh
316,oas,openapi
317,obo,obofoundry
318,onflow,flow-blockchain
319,opa,open-policy-agent
320,oracle,oracle-database
321,os,operating-system
322,oss,open-source
323,paper,bukkit
324,parse,parsing
325,pbbg,browser-game
326,perl5,perl
327,perl6,raku
328,pewpew,pewpew-live
329,pgsql,postgresql
330,photo,image
331,photos,image
332,php1,php
333,php2,php
334,php4,php
335,php5,php
336,php52,php
337,php53,php
338,php54,php
339,php55,php
340,php56,php
341,php6,php
342,php7,php
343,php71,php
344,php72,php
345,php73,php
346,php74,php
347,php8,php
348,php81,php
349,php82,php
350,php83,php
351,php84,php
352,pico8,pico-8
353,pio,platformio
354,plugin,extension
355,pm,product-management
356,povray,pov-ray
357,ppl,pepeland
358,pqc,post-quantum-cryptography
359,psql,postgresql
360,psr11,psr-11
361,psr15,psr-15
362,psr4,psr-4
363,psr7,psr-7
364,pugjs,pug
365,py,python
366,pypi,pip
367,qs,quickshell
368,qt5,qt
369,qt6,qt
370,quilt,quiltmc
371,rails4,rails
372,rails5,rails
373,rails6,rails
374,rails7,rails
375,regex,regular-expression
376,regexp,regular-expression
377,repl,replit
378,reset,css-reset
379,rest,rest-api
380,review,code-review
381,rf,robotframework
382,riotos,riot-os
383,rkt,racket
384,rpg,role-playing-game
385,rts,real-time-strategy
386,rtt,real-time-tactics
387,sapui5,openui5
388,scss,sass
389,sdl2,sdl
390,sdl3,sdl
391,shadcn,shadcn-ui
392,shmup,shoot-em-up
393,sml,standard-ml
394,speccy,zx-spectrum
395,spigot,bukkit
396,sport,sports
397,springboot,spring-boot
398,ss,shadowsocks
399,ssl,tls
400,stf,shoot-em-up
401,swift3,swift
402,swift4,swift
403,synbio,synthetic-biology
404,t3,t3-stack
405,tbt,turn-based-tactics
406,tcg,collectible-card-game
407,test,testing
408,tic80,tic-80
409,tns,nativescript
410,todo,todo
411,tools,tool
412,trpg,tactical-role-playing
413,tty,terminal
414,ue4,unreal-engine
415,unixos,unix
416,urlang,racket
417,userjs,userscript
418,uta,university-of-texas-arlington
419,vb,visual-basic
420,vba7,vba
421,vbnet,visual-basic
422,videos,video
423,virtualreality,virtual-reality
424,visualbasic,visual-basic
425,vitejs,vite
426,viya,sas
427,vkapi,vk
428,vlang,v
429,vmbox,vm-box
430,vplay,felgo
431,vr,virtual-reality
432,vrgame,vr-game
433,vs,visual-studio
434,vscode,visual-studio-code
435,vue2,vue
436,vue3,vue
437,vuejs,vue
438,vuejs2,vue
439,vuejs3,vue
440,vuex,vue
441,vutbr,vut
442,wasm,web-assembly
443,wc24,wiiconnect24
444,webpack,webpack
445,weixin,wechat
446,wikis,wiki
447,win,windows
448,winui2,winui
449,winui3,winui
450,wot,web-of-things
451,ws,websocket
452,wsa,windows-subsystem-for-android
453,www,web
454,xdb,sitecore
455,xros,visionos
456,xxxx,4x
457,yarn2,yarn
458,yii2,yii
459,yml,yaml
460,zem,zeplin
461,zephyr,zephyr-rtos
462,zite,zeronet
463,zkps,zkp
464,zshell,zsh
