1,0,-1
2,0-0,-1
3,0-rtt,real-time-tactics
4,0rtt,real-time-tactics
5,0x,-1
6,0x4447,-1
7,1,-1
8,1-10-2,-1
9,1-12-2,-1
10,1-13,-1
11,1-13-1,-1
12,1-13-2,-1
13,1-14,-1
14,1-14-1,-1
15,1-14-2,-1
16,1-14-3,-1
17,1-14-4,-1
18,1-2-1,-1
19,1-3-2,-1
20,1-8,-1
21,1-apple,apple
22,1-d,-1
23,10,-1
24,10-009,-1
25,10-12,-1
26,10-12-4,-1
27,10-12-5,-1
28,10-12-6,-1
29,10-13,-1
30,10-weeks-of-code,-1
31,100,-1
32,100-days-of-code,tutorial
33,100daysofmlcode,tutorial
34,101,-1
35,1010,-1
36,1024,-1
37,104,-1
38,104hackathon,hackathon
39,1060,-1
40,1070,-1
41,1078,-1
42,1080,-1
43,10cs,computer-science
44,11,-1
45,11-411,-1
46,111,-1
47,1111,-1
48,11200,-1
49,1130,-1
50,11302,-1
51,11411,-1
52,11ty,eleventy
53,12,-1
54,1200,-1
55,123,-1
56,12306,-1
57,12312312312,-1
58,128,-1
59,12c,c
60,13,-1
61,13-d,d
62,1306,-1
63,1337,-1
64,13c,c
65,14,-1
66,140,-1
67,1418471,-1
68,14229,-1
69,14289,-1
70,14496-12,-1
71,14496-14,-1
72,15,-1
73,15-719,-1
74,1500,-1
75,151,-1
76,15213,-1
77,1541,-1
78,15527417189,-1
79,15765,-1
80,16,-1
81,1602,-1
82,1610,-1
83,1611,-1
84,16172,-1
85,163,-1
86,1637,-1
87,1638,-1
88,16759,-1
89,1678,-1
90,1688,-1
91,1689,-1
92,16s,-1
93,17,-1
94,170,-1
95,1752,-1
96,1793907272,-1
97,18,-1
98,180-video,video
99,1800,-1
100,1801,-1
101,1802,-1
102,1803,-1
103,1804,-1
104,1806,-1
105,1809,-1
106,183,-1
107,18650,-1
108,18c,c
109,19,-1
110,1900,-1
111,1901,-1
112,1903,-1
113,1904,-1
114,1909,-1
115,19115,-1
116,191210910,-1
117,19139,-1
118,1935,-1
119,1952,-1
120,1970,-1
121,1979,-1
122,1983,-1
123,1989,-1
124,1994,-1
125,1995,-1
126,1996,-1
127,1997,-1
128,1998,-1
129,1999,-1
130,19c,c
131,1api,api
132,1c,-1
133,1c-app,app
134,1cd,cd
135,1code,code
136,1d,d
137,1ml,machine-learning
138,1script,script
139,1swift,swift
140,1vs1,visual-studio
141,1wei-xin,wechat
142,2,-1
143,20,-1
144,20-20-20,-1
145,2000,-1
146,2001,-1
147,2005,-1
148,2007,-1
149,2008,-1
150,2009,-1
151,2010,-1
152,2011,-1
153,2012,-1
154,2012-4869,-1
155,2012r2,r
156,2013,-1
157,2014,-1
158,2014-5301,-1
159,2015,-1
160,2016,-1
161,2016-10033,-1
162,2016-17,-1
163,2017,-1
164,2017-18,-1
165,2017-2018,-1
166,2018,-1
167,2018-02-07,-1
168,2018-04-24,-1
169,2018-08-11,-1
170,2018-19,-1
171,201814836,-1
172,2019,-1
173,2019-0708,-1
174,2019-20,-1
175,2020,-1
176,2021,-1
177,20400,-1
178,2048,-1
179,2048-ai,ai
180,2048-elm,elm
181,2107,-1
182,211,-1
183,2169,-1
184,2233,-1
185,2260,-1
186,23,-1
187,230,-1
188,230v,v
189,236,-1
190,236610,-1
191,237549582,-1
192,23andme,-1
193,24,-1
194,240,-1
195,241584,-1
196,2417,-1
197,243,-1
198,24c01,c
199,24c02,c
200,24c04,c
201,24c08,c
202,24c16,c
203,24c32,c
204,24c64,c
205,24projects,project
206,25,-1
207,250,-1
208,25120,-1
209,2518,-1
210,256,-1
211,25d,d
212,2600,-1
213,261,-1
214,270,-1
215,271,-1
216,27256,-1
217,27512,-1
218,27c256,c
219,27c32,c
220,27c322,c
221,27c512,c
222,280,-1
223,28181,-1
224,28874,-1
225,28c256,c
226,28c64,c
227,29c256,c
228,2c2p,-1
229,2ch,-1
230,2gis,gis
231,2gitlab,gitlab
232,2pc,-1
233,3,-1
234,3-6-1,-1
235,3-d,d
236,30,-1
237,3000,-1
238,30005,-1
239,301,-1
240,302,-1
241,303,-1
242,30300,-1
243,304,-1
244,307,-1
245,308,-1
246,311,-1
247,311-data,data
248,312-50,-1
249,317,-1
250,31c3,c
251,32,-1
252,32000,-1
253,32100,-1
254,3270,-1
255,32960,-1
256,32c3,c
257,33,-1
258,3301,-1
259,333,-1
260,337,-1
261,33c3,c
262,34,-1
263,3461as,assemblyscript
264,34c3,-1
265,3516,-1
266,3519,-1
267,3536,-1
268,3543,-1
269,3559,-1
270,3561,-1
271,35845,-1
272,35c3,-1
273,360,-1
274,360-photo,image
275,360-video,video
276,360photo,image
277,360video,video
278,365,-1
279,3695,-1
280,3710,-1
281,376,-1
282,38,-1
283,38147,-1
284,386,-1
285,3950,-1
286,3ai,ai
287,3c,c
288,3d,3d
289,3d-animation,3d
290,3d-cad,3d
291,3d-graphics,3d
292,3d-modeling,3d
293,3d-models,3d
294,3d-point-clouds,point-cloud
295,3d-pose-estimation,-2
296,3d-printing,3d
297,3d-rendering,3d
298,3d20,d
299,3danimation,3d
300,3dcad,3d
301,3des,-1
302,3dgraphics,3d
303,3djs,discord-js
304,3dmodeling,3d
305,3dmodels,3d
306,3dpointclouds,point-cloud
307,3dprinting,3d
308,3drendering,3d
309,3ds,3d
310,3ds-custom-firmware,3ds-homebrew
311,3ds-homebrew,-2
312,3dscustomfirmware,3ds-homebrew
313,3dshomebrew,3ds-homebrew
314,3g,-1
315,3js,javascript
316,3ot,-1
317,3rd-party,-1
318,3rd-person-shooter,third-person-shooter
319,3rd-person-shooter-game,third-person-shooter
320,3rdpersonshooter,third-person-shooter
321,3rdpersonshootergame,third-person-shooter
322,4,-1
323,4-12-7,-1
324,4-arduino,arduino
325,40,-1
326,401,-1
327,4010,-1
328,4013,-1
329,4014,-1
330,40300,-1
331,4035720,-1
332,404,-1
333,405,-1
334,408,-1
335,4081,-1
336,41,-1
337,4146,-1
338,418,-1
339,42,-1
340,420,-1
341,42api,api
342,42born2code,-1
343,42projects,project
344,4326,-1
345,433,-1
346,44,-1
347,4461,-1
348,44780,-1
349,46,-1
350,47,-1
351,486,-1
352,488,-1
353,492,-1
354,4a-tools,tool
355,4c,c
356,4clojure,clojure
357,4d-component,-2
358,4dcomponent,4d-component
359,4gb,gameboy
360,4k,-1
361,4linux,linux
362,4php,php
363,4x,-2
364,4x-game,4x
365,4x-strategy-game,strategy-game
366,4xgame,4x
367,5,-1
368,50,-1
369,500,-1
370,5000,-1
371,500px,-1
372,501,-1
373,5010,-1
374,501c3,-1
375,50200,-1
376,50210,-1
377,503,-1
378,50400,-1
379,5050,-1
380,508,-1
381,5110,-1
382,518,-1
383,5183,-1
384,5190,-1
385,51mcu,microcontroller
386,520,-1
387,5229,-1
388,52832,-1
389,530-tools,tool
390,5370,-1
391,538,-1
392,545,-1
393,5470,-1
394,54fz,-1
395,552,-1
396,56,-1
397,564,-1
398,5651,-1
399,57,-1
400,575,-1
401,5800,-1
402,5827,-1
403,5ch,-1
404,5d,d
405,5e,-1
406,5g,5g
407,5g-nr,5g
408,5gc,5g
409,5gnr,5g
410,5zig,zig
411,6,-1
412,6-824,-1
413,60,-1
414,6006,-1
415,6036,-1
416,6044,-1
417,6046,-1
418,60870,-1
419,60870-5-101,-1
420,60870-5-104,-1
421,60fps,first-person-shooter
422,616,-1
423,617,-1
424,61850,-1
425,621,-1
426,6301,-1
427,6309,-1
428,6309-assembly,assembly
429,6346,-1
430,64,-1
431,650,-1
432,6502,-1
433,6502-assembly,assembly
434,6510,-1
435,65802,-1
436,6581,-1
437,65816,-1
438,65816-assembler,assembly
439,65816-assembly,assembly
440,65c02,c
441,65c816,c
442,666,-1
443,67,-1
444,675,-1
445,6800,-1
446,68000,motorola-68000
447,68000-family,motorola-68000
448,68000-processor,motorola-68000
449,68000-series,motorola-68000
450,68000family,motorola-68000
451,68000processor,motorola-68000
452,68000series,motorola-68000
453,68008,-1
454,68030,-1
455,6809,-1
456,6809-assembly,assembly
457,6824,-1
458,68332,-1
459,68k,motorola-68000
460,68k-assembly,assembly
461,690,-1
462,6d,d
463,7,-1
464,7-11,-1
465,7-zip,zip
466,70-480,-1
467,70-535,-1
468,701,-1
